自身免疫性胃炎	胃炎
造瘘口肠脱出	胃肠道的其他人工造口状态
左肺静脉栓塞	静脉栓塞
左乳浸润性导管癌 pT2N2M0 III期	乳腺恶性肿瘤##浸润性导管癌##淋巴结继发恶性肿瘤
颅脑外伤性意识障碍后遗症期	头部损伤##意识障碍
骨关节炎；痹症；肝肾不足	骨关节病
宫颈上皮内瘤变III	子宫颈上皮内瘤变III级[CINIII级]
右肺癌治疗后	右肺恶性肿瘤##癌
皮肤瘙痒症待查老年瘙痒症可能	瘙痒症
会厌肿物	喉肿物
右卵巢生发上皮包涵囊肿	卵巢包涵囊肿
右跟骨劳损	足的其他和未特指部位的扭伤和劳损
结肠癌并肠梗阻	结肠恶性肿瘤##肠梗阻##癌
双颞硬膜血肿上矢状窦动静脉漏	脑动静脉瘘
双眼白塞氏病	白塞病[behcet病]
感染性发热皮肤软组织感染	感染性发热
右手陈旧性扭伤	手其他和未特指部位的扭伤和劳损
右乳浸润性导管癌生物治疗	乳腺恶性肿瘤##浸润性导管癌##恶性肿瘤生物治疗
右肺上叶鳞癌	右肺上叶恶性肿瘤##鳞状细胞癌
植物状态肌张力增高	肌张力障碍
脑内多发腔隙性梗塞	腔隙性脑梗死##多发性脑梗死
停经256周B超提示胎儿双足内翻状态	妊娠状态##先天性内翻足
左下肢臀部皮肤改变陈旧性皮肤压疮	压疮
右侧腋下皮脂腺囊肿	皮脂腺囊肿
甲状腺滤泡癌	甲状腺恶性肿瘤##滤泡性癌
鼻咽顶后壁、顶壁、右侧壁未分化型非角化性癌T1N0M0 I期	鼻咽顶恶性肿瘤##鼻咽侧壁恶性肿瘤##未分化的癌
乳头增大溢液	乳头溢液##乳头肥大
腰膝病变下肢交感神经病变	未特指的自主神经系统疾患
血小板减少性紫癜	特发性血小板减少性紫癜
右侧桡骨远端开放性骨折	桡骨远端骨折##上肢开放性骨折
维生素不足消化功能紊乱	维生素缺乏##胃肠功能紊乱
卵巢癌IIIC期	卵巢恶性肿瘤##癌
右脚肿痛	下肢疼痛
右顶脑血管畸形伽马刀治疗后	脑血管畸形
取出大股骨内固定装置	取出内固定装置
肺大细胞癌T4N3M0	肺恶性肿瘤##大细胞癌##淋巴结继发恶性肿瘤
右肾切开取石术后	肾结石##肾术后
2型糖尿病糖尿病足部病变	2型糖尿病##2型糖尿病足
心衰红皮病嗜酸性粒细胞增多症	嗜酸粒细胞增多综合征##红皮病##心力衰竭
横结肠管状腺瘤直乙交界管状腺瘤	直肠乙状结肠连接部良性肿瘤##横结肠良性肿瘤##管状腺瘤
右下肺腺癌化疗后	右肺下叶恶性肿瘤##腺癌##化学治疗
"高血压病,脑血管病，过敏性鼻炎，抑郁症，便秘"	高血压##脑血管病##过敏性鼻炎[变应性鼻炎]##便秘##抑郁症
左胫骨平台开放性粉粹性骨折伴骨质部分缺损	胫骨骨折
宫颈中高分化鳞癌IIIb期放化疗后	子宫颈恶性肿瘤##鳞状细胞癌##化学治疗##恶性肿瘤放疗
胸膜膈肌钙化斑	胸膜钙化##肌肉的其他钙化
左股骨腓骨骨质改变骨纤维结构不良	腓骨纤维结构不良##股骨纤维结构不良
纵隔霍奇金淋巴瘤	纵隔淋巴瘤##霍奇金淋巴瘤
乙状结肠术后化疗	恶性肿瘤术后化疗
宫颈低中分化鳞癌IIIb期放化疗后	子宫颈恶性肿瘤##鳞状细胞癌##化学治疗##恶性肿瘤放疗
喉癌放疗后	喉恶性肿瘤##癌##恶性肿瘤放疗
慢性嗜酸细胞白血病	慢性嗜酸性粒细胞白血病[高嗜酸性粒细胞增多症]
不完全性房室干扰脱节伴交界性逸搏心律	结性逸搏
双侧胫骨应力性损伤	胫骨骨折##应力性骨折
右侧卵巢高级别浆液性腺癌IIIc期	卵巢恶性肿瘤##浆液性腺癌
降结肠溃疡型中分化腺癌	降结肠恶性肿瘤##腺癌
HL经典型结节硬化型IIB期化疗后	结节硬化型经典霍奇金淋巴瘤##化学治疗
骶尾部化脓性囊肿	骨盆部囊肿
T11-12老年性病变或压缩性	胸椎压缩性骨折##胸椎骨折T11/T12
格林巴利综合征？高位脊髓病变？低钾？	吉兰-巴雷综合征##低钾血症##脊髓病
弥漫球性增生性狼疮性肾IV-G	狼疮性肾炎
血三系减低骨髓造血功能低下	全血细胞减少
宫内双死胎单绒双羊	双胎死产
右环指外伤性截指	单指完全离断
直肠溃疡型中分化乳头状管状腺癌	直肠恶性肿瘤##乳头状管状腺癌
肺癌ＩＶ期　卡氏评分８０分	肺恶性肿瘤##癌
右膝关节外侧盘状盘状半月板伴Ⅲ°撕裂	先天性盘状半月板##膝外侧半月板撕裂
先天性主动脉瓣畸形并中-重度关闭不全	先天性主动脉瓣畸形##先天性主动脉瓣关闭不全
回肠膀胱乳头新生物	小肠息肉##膀胱息肉
右拇指神经断裂	神经断裂
B超提示胎儿卵圆孔稍增大肾窦分离	卵圆孔未闭
中枢性低钠低氯	低钠血症##低氯血症
急性肠道移植抗宿主病I度	急性移植物抗宿主病
扁桃体炎，腹泻病，支气管炎;	扁桃体炎##O##支气管炎
盲肠升结肠横结肠管状腺瘤	盲肠良性肿瘤##升结肠良性肿瘤##横结肠良性肿瘤##管状腺瘤
非甲状腺病态吧综合征	甲状腺功能正常的病态综合征
原发性胆汁性硬化失代偿期	原发性胆汁型肝硬化##肝硬化失代偿期
右膝部挫擦伤	膝部挫伤##膝部擦伤
牙龈损伤	牙及相关组织损伤
左足第2趾右足第234缺血坏死	足坏死
子宫肌层恶性肿瘤平滑肌肉瘤	子宫恶性肿瘤##平滑肌肉瘤
"左肺腺癌IV期,便秘,贫血"	左肺恶性肿瘤##腺癌##便秘##贫血
椎基底A供血不足胃黏膜撕裂症	椎-基底动脉供血不全##胃损伤
右胫腓骨远端骨质破坏	骨质破坏
双眼视功能异常	视觉障碍
尿毒症肾透析 肾性贫血 肾性骨病 肾性高血压 神经衰弱	尿毒症##肾脏透析状态##肾性贫血##肾性骨病##肾性高血压##神经衰弱
慢性心功能不全心功能III级	心功能III级(NYHA分级)
颏部瘘道原因缝线反应	皮肤瘘管
幼年型粒-单核细胞白血病	幼年型粒单核细胞白血病
左侧髌骨骨梗死右膝髌股关节退变	单侧膝关节骨性关节病##骨坏死
双侧颈部淋巴结病变	淋巴结病
重型颅脑损伤术后2颅内感染	颅内损伤##脑术后##颅内感染
左腋部皮脂腺囊肿	皮脂腺囊肿
脾曲管状腺瘤I级	结肠脾曲良性肿瘤##管状腺瘤
慢性肠炎伴肠功能紊乱	慢性肠炎##肠功能紊乱
多脏器功能不全累及心肌肝脏凝血	多脏器功能障碍综合征[MODS]
慢性肾衰竭并急性肾衰竭	慢性肾衰竭##急性肾衰竭
符合横结肠低级别绒毛管状腺瘤	横结肠良性肿瘤##管状绒毛状腺瘤
前列腺增生伴出血	前列腺增生##出血
"乳腺结节,"	乳房占位
宫颈小细胞癌IIA2期	子宫颈恶性肿瘤##小细胞癌
先天性染色体病45XXrob1315	先天性染色体病
急性T淋巴细胞白血病伴髓系表达	T淋巴细胞和髓系混合表型急性白血病
糖尿病糖尿病肾病糖尿病视网膜病变	糖尿病##糖尿病性肾病##糖尿病性视网膜病变
右侧额叶占位伴出血	额叶出血##脑占位性病变
胰腺癌术后腹腔广泛转移 肺转移？	胰腺恶性肿瘤##癌##肺继发恶性肿瘤##腹腔继发恶性肿瘤##转移性癌##广泛转移性肿瘤
纠正性大动脉转位	矫正性大动脉转位
慢性移植物抗宿主反应病皮肤口腔肝脏眼	慢性移植物抗宿主病
子宫原位癌	子宫恶性肿瘤##原位癌
右乳多发纤维腺瘤	乳腺良性肿瘤##纤维腺瘤
绝经后子宫	绝经期
咯血(感染?)	感染##咯血
鳞状上皮化生伴CINⅠCINⅡ累及腺体	子宫颈上皮瘤样病变[CIN]I级##宫颈上皮瘤样病变[CIN]II级
脑器质性疾病所致情绪障碍	器质性心境[情感]障碍
宫颈管占位、粘膜下肌瘤	子宫粘膜下平滑肌瘤##子宫及附件占位
先天性青光眼	先天性水眼[眼积水]
卵巢癌IV期第二次化疗后	卵巢恶性肿瘤##化学治疗##癌
左肱骨下端骨不连	肱骨骨折不连接
右侧多囊卵巢	卵巢多囊样改变
导管轻度扩张伴局部导管上皮乳头状增生	乳腺导管扩张症##乳腺增生
贫血血小板高2周	贫血##血小板增多
左足皮瓣臃肿术中诊断左足皮瓣臃肿	皮瓣移植状态
"肝癌,肝硬化,肝昏迷"	肝恶性肿瘤##肝硬化##肝性脑病##癌
火焰烧伤左手	手部烧伤##火焰烧伤
右肺中叶腺癌治疗后的随诊检查	右肺中叶恶性肿瘤##腺癌##恶性肿瘤其他治疗后的随诊检查
左侧跟骨外侧及内踝下方撕脱性骨折	内踝骨折##跟骨骨折
面部白斑原因待查蛔虫症可能	"白斑病,不可归类在他处者##蛔虫病"
胆道疾患先天性胆道闭锁可能性大	先天性胆管闭锁##胆道未特指的疾病
中分化宫内膜样腺癌	子宫内膜样腺癌##子宫内膜恶性肿瘤
慢性肾脏病并急性肾衰	慢性肾病##急性肾衰竭
尿路上皮癌术后	尿路上皮癌##尿道术后
左肾低密度影请结合超声除外囊肿	泌尿器官诊断性影像检查的异常所见
无精症右阴囊内占位	无精子症##男性生殖器占位
停经266周B超提示胎儿双侧外耳外观异常	妊娠状态
右侧输卵管伞端闭锁伴输卵管积液	右侧输卵管积水##输卵管闭锁
肺部结节影待查	肺部阴影
双侧腹股沟清扫后TIP辅助化疗	化学治疗
复发性滤泡淋巴瘤	滤泡淋巴瘤##恶性肿瘤复发
胎儿宫内生长发育受限	胎儿生长受限
面神经麻痹(面瘫)	神经麻痹
CHB后硬化	慢性乙型病毒性肝炎##乙型肝炎肝硬化
水源性肢端角化	角化病
溃疡浸润型低分化腺癌	腺癌
胸髓病变伴截瘫	截瘫[双下肢瘫痪]
全身多处犬咬伤术后	多处开放性损伤##被狗咬伤
子宫(肌)瘤	子宫平滑肌瘤##子宫平滑肌瘤
胃肠道发育畸形	先天性消化道畸形
右侧输尿管上段结石并右肾重度积水	肾积水伴输尿管结石
左肺下叶支气管扩张症	支气管扩张症
神经精神发育延迟	发育迟滞
宫颈上皮内低级别病变CINI级	子宫颈上皮瘤样病变[CIN]I级
"高龄,肺占位,肺癌可能大"	肺占位性病变##肺恶性肿瘤##癌
血液透析导管相关性感染	透析导管引起的机械性并发症##血管导管相关性感染
左腕软组织割伤	腕部开放性损伤
EST柱状球囊扩张术胆管取石术ENBD后	胆管结石##胆道术后
亚急性淋巴结炎	淋巴结炎
左肾造瘘管口伤口漏尿	肾造口状态
发育不良待查	先天性发育异常
乳癌病【痰瘀互结证】	乳腺恶性肿瘤##癌
食管溃疡浸润型中分化鳞状细胞癌	食管恶性肿瘤##鳞状细胞癌
左腹部臀部肿瘤	腹部肿瘤##臀部肿瘤
右膝髌骨局灶性坏死内侧OA	单侧膝关节骨性关节病##骨坏死
小儿唐氏综合征	21-三体综合征[Down综合征]
乙状结肠病变并不全梗阻	不完全性肠梗阻
多饮多尿待查	多尿##多饮
白细胞淤滞-不除外血液病	血液和造血器官未特指的疾病
左眼暴露性角膜病变	角膜未特指的疾患
颈椎神经纤维瘤	神经纤维瘤病[VonRecklinghausen病]
右肺上叶大细胞癌中医治疗	右肺上叶恶性肿瘤##大细胞癌##恶性肿瘤中医治疗
鼻咽未分化非角化癌T2N2M0	鼻咽恶性肿瘤##未分化的癌
胸脊髓损伤并不全瘫	胸部脊髓损伤##不完全性瘫痪
右下肺鳞术后（pT4N2M0	右肺下叶恶性肿瘤##肺术后##鳞状细胞癌
阵发性心房颤动心房纤颤	阵发性心房颤动
骨转移(左11后肋、右9后肋)	肋骨继发恶性肿瘤##转移性肿瘤
后交通动脉瘤术后	后交通动脉动脉瘤
左乳包块，孕8月	乳房肿物##孕32周
内侧副韧带股骨止点撕脱性骨折	股骨骨折
健康查体; 肺癌待查	健康查体##肺恶性肿瘤##癌
胃癌IV期化疗后	胃恶性肿瘤##化学治疗##癌
成人斯蒂尔病合并肺间质改变	成年型斯蒂尔病[Still病]
直肠低分化腺癌	直肠恶性肿瘤##腺癌
动脉导管迟缓关闭	动脉导管未闭
左肺上叶舌段部分支气扩张周围少许纤维灶	支气管扩张症
皮疹待查：小儿康疹？肠蛔虫症？	皮疹##白色糠疹##肠蛔虫病
"直肠癌晚期,肝转移，化疗"	直肠恶性肿瘤##肝继发恶性肿瘤##化学治疗##癌##转移性癌
胰头中分化腺癌	胰头恶性肿瘤##腺癌
纤维结构异常增殖症左股骨近端左胫骨	股骨纤维结构不良##胫骨纤维结构不良
右手示指末节部分坏死伴骨外露	手坏死
上呼吸道感染，腹泻，	上呼吸道感染
先天性神经性肌强直	先天性肌强直症[Thomsen病]##神经性肌强直[艾萨克斯综合征]
宫颈中分化鳞形细胞癌	子宫颈恶性肿瘤##鳞状细胞癌
高甘油三脂高尿酸	高甘油三酯血症##高尿酸血症
外伤，支气管炎	支气管炎
多发性梗塞椎基底A供血不足	椎-基底动脉供血不全
凝血障碍慢性DIC可能	凝血功能障碍##弥散性血管内凝血
白内障人工晶体置换术后	白内障##人工晶体植入状态
右踝关节开放性骨折伴脱位	踝关节脱位##踝关节骨折
味觉缺失	味觉障碍
宫颈鳞状细胞癌IIIB期放化疗后	子宫颈恶性肿瘤##鳞状细胞癌##化学治疗##恶性肿瘤放疗
十二指肠空肠绒毛萎缩部分淋巴管扩张	肠淋巴管扩张
痹症腰腿痛手麻木感冒前列腺肥大	腰痛##下肢疼痛##感冒##前列腺增生
完全性肺静脉异位引流心下型梗阻型	"完全性肺静脉异位引流,心下型"
大疱性表皮坏死松解萎缩性药疹	莱尔综合征[lyell综合征]
浮肿查因肝源性心源性肾源性营养不良性	营养性水肿##水肿
痛经，IUD	痛经##具有子宫内避孕装置
"原发性肝癌,慢性乙型病毒性肝炎,肝炎后肝硬变,门脉癌栓"	肝恶性肿瘤##癌##慢性乙型病毒性肝炎##肝炎肝硬化##门静脉瘤栓
三脑室脑组织内血管异常性病变	脑血管病
左鼻前庭血管源性肿瘤考虑血管周细胞	鼻部血管瘤
十二指肠隆起型中低分化腺癌	十二指肠恶性肿瘤##腺癌
TSH增高原因非甲状腺病态综合征	甲状腺功能正常的病态综合征
颞下颌关节功能紊乱病咀嚼肌功能紊乱	颞下颌关节紊乱病##肌肉疾患
肾组织慢性改变伴球性硬化	肾小球硬化
慢性乙型病素养性肝炎重型重度	病毒性肝炎乙型慢性重型
牙髓病龋病	牙髓和根尖周组织其他和未特指的疾病##龋病
口腔黏膜恶性肿瘤晚期	口腔黏膜恶性肿瘤
左膝关节局灶性骨梗死退变	单侧膝关节骨性关节病##骨坏死
2型糖尿病##糖尿病肾病	2型糖尿病##糖尿病性肾病
上颌窦癌	上颌窦恶性肿瘤##癌
右食指创伤性软组织缺损伴甲床缺损	后天性指缺损
右腓肠肌肌肉拉伤	腓侧肌群和肌腱损伤
右乳恶性分叶状肿瘤	乳腺恶性肿瘤##恶性叶状瘤
鼻咽鳞状细胞癌放化疗后	鼻咽恶性肿瘤##鳞状细胞癌
4%烫伤额面部左胸部左上肢浅II度	上肢烫伤##躯干部烫伤
高血脂心脏损害	未特指的心脏病##高脂血症
蜂窝组织炎	蜂窝织炎
西医1抑郁症伴焦虑2老年性脑改变	抑郁发作##焦虑状态
右颞叶海马异常信号缺血脱髓鞘改变	脱髓鞘性脑病##脑血管供血不足
类风湿性关节炎重度	类风湿性关节炎
T1012椎体压缩性骨折病理性骨折不除外	胸椎压缩性骨折##病理性骨折
胆囊息肉胆囊结石	胆囊息肉##胆囊结石
特指听觉丧失右耳听觉丧失	其他特指的听觉丧失
Carolis病	先天性肝内胆管囊状扩张症[Caroli病]
头腹部左侧臀部打伤	头部损伤##腹部损伤##被别人殴打、踢、拧、咬或抓伤##多处损伤
左上肢跌伤待查	摔伤##上肢损伤
颈动脉粥样硬化伴斑块形成	颈动脉粥样硬化
新生儿高胆红素血症，ABO溶血？	新生儿高胆红素血症
胎盘前置状态并胎盘边缘剥离	前置胎盘##胎盘早期剥离
（阴茎）高分化鳞状细胞癌	阴茎恶性肿瘤##鳞状细胞癌
右肺上叶鳞癌（pT2aN2M0 IIIa期）术后	肺术后##右肺上叶恶性肿瘤##鳞状细胞癌##淋巴结继发恶性肿瘤
S2-3椎管囊性病灶	椎管囊肿
右卵巢子宫内膜样腺癌	卵巢恶性肿瘤##子宫内膜样腺癌
右输卵管高级别浆液性腺癌	输卵管恶性肿瘤##浆液性腺癌
慢性淤胆性脾肿大	脾大
神经系统特指疾患双侧额叶斑片状高信号影	"神经系统的其他疾患,不可归类在他处者##中枢神经系统诊断性影像检查的其他异常所见"
耳带状庖疹	外耳带状疱疹
右拇指狗牙齿划伤	拇指开放性损伤##被狗咬伤
咽壁恶性肿瘤	咽壁恶性肿瘤##咽炎
双肺多发斑片及磨玻璃影	肺部阴影
腹腔内肉瘤	腹部恶性肿瘤##肉瘤
前胸瘢痕疙瘩	瘢痕疙瘩
心肺功能失代偿期-心功能III级	心功能不全##心功能III级(NYHA分级)
"贲门癌,胃镜用药 预防出血"	贲门恶性肿瘤##癌
臀部疖肿金黄色葡萄球菌	臀部疖##金黄色葡萄球菌感染
损伤(右额部)	头部损伤
非萎缩性胃炎	胃炎
右额部肿块	头部占位
右乳浸润性癌内分泌治疗	乳腺恶性肿瘤##浸润性导管和小叶性癌##恶性肿瘤内分泌治疗
声门癌	声门恶性肿瘤##癌
偶发房性早博	房性期前收缩[房性早搏]
左股骨中段癌	股骨恶性肿瘤##癌
左肾透明细胞癌术后多发骨转移	肾术后##肾恶性肿瘤##透明细胞癌##骨继发恶性肿瘤##转移性透明细胞癌
直肠结肠粘膜低级别管状及绒毛管状腺瘤	直肠良性肿瘤##管状绒毛状腺瘤
高血压Ⅲ;高脂血症;周围神经病;脑梗死;骨质疏松	高血压3级##高脂血症##多发性神经病[多发性神经炎/周围神经炎]##脑梗死##骨质疏松
左肱骨中下段不全骨裂	肱骨骨折
双子宫颈	双子宫颈
扁平苔藓硬化性萎缩性苔藓	扁平苔癣
粟粒大结肠黏膜组织1块呈低级别管状腺瘤	结肠良性肿瘤##管状腺瘤
睡眠增多症(？)	嗜眠症
神经鞘膜瘤	神经鞘瘤
脑膜瘤放疗后	脑膜瘤##恶性肿瘤放疗
肝局灶增生血脂高	高脂血症
右肺下叶小细胞癌广泛期	右肺下叶恶性肿瘤##小细胞癌
慢性移植物抗宿主反应病上肢皮肤四肢关节	慢性移植物抗宿主病
共同心房	单心房
膀胱阴道瘘术后;	膀胱阴道瘘##膀胱术后
性功能减退	性功能障碍
冠心病糖尿病关节炎	冠状动脉粥样硬化性心脏病##糖尿病##关节炎
溃疡型腺癌	腺癌
颈动脉粥样硬化(混合斑)	颈动脉粥样硬化
右上腹皮肤麻木	皮肤感觉异常
Ｂ型血友病[克里斯马斯病]	B型血友病
胃肠炎支气管炎复诊	胃肠炎##支气管炎
"脑梗死,记忆力减退,高脂血症,骨质疏松"	脑梗死##高脂血症##骨质疏松
双侧胸水少量尿蛋白阳性待查	胸腔积液
低钙儿童异常动态脑电图	钙代谢紊乱##脑电图异常
卵巢癌Ⅳ期	卵巢恶性肿瘤##癌
脑白质变性5神经症	脑白质病##神经症性障碍
急性支气管炎?哮喘?	急性支气管炎##支气管哮喘
1肺癌骨转移；2截瘫	肺恶性肿瘤##骨继发恶性肿瘤##未特指的截瘫##癌##转移性癌
胃肠功能紊乱，疝气	胃肠功能紊乱
双耳先天性极重度感音神经性聋	双侧感音神经性聋##先天性聋
乏力，肝异常回声区	乏力
; 直肠癌术后; 内痔	直肠术后##直肠恶性肿瘤##内痔##癌
皮下纤维瘤	纤维瘤
宫颈激光术后	宫颈术后
左侧股骨及髋臼骨纤维结构不良	髋骨纤维异常增殖症##股骨纤维结构不良
左下肢恶性纤维组织细胞病	下肢恶性肿瘤
右上肺鳞状细胞癌介入治疗后	右肺上叶恶性肿瘤##鳞状细胞癌
面部及左前臂蜂蜇伤	蜂螫伤##面部损伤##前臂损伤
子宫颈鳞癌IIB期放疗后	子宫颈恶性肿瘤##鳞状细胞癌##恶性肿瘤放疗##化学治疗
上呼吸道疾病细菌性	上呼吸道感染##细菌感染
血管结构畸	血管畸形
肺占位，前纵膈占位，重症肌无力	肺占位性病变##胸腔占位性病变##重症肌无力
口腔灼伤性溃疡	口腔开放性损伤##溃疡性口炎
右眼裂外眦外伤后疤痕粘连	外眦瘢痕
左股骨骨质破坏区姑息性放疗后	骨质破坏##姑息医疗##放射治疗
结性逸搏律一过性全心停搏	心脏停搏##结性逸搏
左小腿软组织劳损	累及下肢多个部位的脱位、扭伤和劳损
右肾母细胞瘤化疗后	肾恶性肿瘤##肾母细胞瘤##化学治疗
甲状旁腺功能减退症	甲状旁腺功能减退
降结肠管状腺瘤乙状结肠绒毛状-管状腺瘤	降结肠良性肿瘤##乙状结肠良性肿瘤##管状腺瘤##管状绒毛状腺瘤
肝癌术后复发介入治疗后双肺转移	肝术后##肝恶性肿瘤##癌##肺继发恶性肿瘤##转移性癌
滋养细胞肿瘤IV12第二次诱导化疗后	滋养细胞病##化学治疗
精神运动发育迟缓代谢病	发育迟滞
1多发性脑缺血2高同型半胱胺	脑血管供血不足##高同型半胱氨酸血症
符合跖骨头坏死改变	骨坏死
传染性单核细胞增多症	未特指的传染性单核细胞增多症
右上肢疤痕挛缩粘连	瘢痕挛缩##瘢痕粘连
胃病变粘膜下剥离术ESD	胃和十二指肠未特指的疾病
瘢痕溃疡	瘢痕
腹痛：胃肠道寄生虫感染	腹痛##肠道寄生虫病
直肠癌新辅助放化疗后	直肠恶性肿瘤##恶性肿瘤放疗##化学治疗##癌
短暂性脑缺血高三酰甘油血症	短暂性脑缺血发作##高甘油三酯血症
1.肝癌术后复发多次栓塞术后	肝术后##肝恶性肿瘤##癌##恶性肿瘤复发
骶尾部左髋部压迫性溃疡	压疮
原发性支气管肺癌(右肺鳞癌，rT1cN2M1c(脑)，IVB期，PS0分)	右肺恶性肿瘤##鳞状细胞癌
右乳腺癌中医治疗	乳腺恶性肿瘤##恶性肿瘤中医治疗##癌
右肾肾实质萎缩伴多房囊性变	肾囊肿##肾萎缩
主动脉瓣换瓣术后	具有其他心脏瓣膜置换
"多发性骨髓瘤(LAM轻链型),D-S分期IIIB期,ISS分期III期"	多发性骨髓瘤(轻链λ型)##多发性骨髓瘤(ISS分期III期)##多发性骨髓瘤(DS分期III期B组)
左背部玻璃割伤	背部开放性损伤##玻璃割伤
急性肝肾凝血等功能衰竭	多脏器功能衰竭
结肠多发管状腺瘤伴高级别上皮内瘤变	结肠良性肿瘤##管状腺瘤
"行动不便,肝肾阴虚、腰膝酸软,咽炎,慢性失眠,便秘"	咽炎##失眠##便秘
胰腺癌史	胰腺恶性肿瘤史
右下牙龈高分化鳞状细胞癌	牙龈恶性肿瘤##鳞状细胞癌
双乳腺病伴部分导管扩张和上皮大汗腺化	乳房未特指的疾患##乳腺导管扩张症
溶血原因自身免疫性溶血可能性大	自身免疫病
颈内颅内段动脉血管多发狭窄并斑块形成	动脉狭窄##颈内动脉狭窄##颈内动脉斑块
脑缺血并周围神经病変脑记忆力减退	脑血管供血不足##多发性神经病[多发性神经炎/周围神经炎]
右乳乳腺纤维腺瘤	乳腺良性肿瘤##纤维腺瘤
1.冠心病，陈旧前壁心梗，PTCA+支架术后；2.高血压病2级（极高危）；3.高脂血症。	冠状动脉粥样硬化性心脏病##陈旧性前壁心肌梗死##冠状血管成形术后状态##血管支架植入术后状态##O##高脂血症
唐氏综合症先心病	21-三体综合征[Down综合征]##先天性心脏病
肝脏肿瘤：肝母细胞瘤？	肝恶性肿瘤##肝母细胞瘤##肝母细胞瘤
左髌骨骨折术后	髌骨骨折##骨折术后
肝占位性病变:肝癌	肝恶性肿瘤##癌##肝占位性病变
双叶甲状腺乳头状癌	甲状腺恶性肿瘤##甲状腺乳头状癌
急性胆囊炎胆囊结石急性胃炎	急性胆囊炎##胆囊结石##急性胃炎
发热待查：化扁，肺炎？	发热##急性化脓性扁桃体炎##肺炎
右眼枪伤	意外枪伤##眼部开放性损伤
单纯疱疹病毒感染症	单纯疱疹
双乳多发性腺瘤	腺瘤##乳腺良性肿瘤
急性化脓性扁桃体炎，喘息性支气管炎	急性化脓性扁桃体炎##急性喘息性支气管炎
左小腿肿痛待查	下肢肿胀##下肢疼痛
1左膝关节外侧不全盘状半月板前角体部Ⅲ°	先天性盘状半月板
左结节性甲状腺肿 右甲状腺癌	结节性甲状腺肿##甲状腺恶性肿瘤##癌
双踝跌伤	踝部损伤##跌倒
先天性阴茎扭转	阴茎的其他先天性畸形
子宫颈鳞状细胞癌ⅢB期放化疗后	子宫颈恶性肿瘤##鳞状细胞癌##恶性肿瘤放疗##化学治疗
双眼浮肿过敏性疾病	眼睑水肿##过敏反应
中分化鳞形细胞癌	鳞状细胞癌
口咽干燥	口干
肩胛骨癌	肩胛骨恶性肿瘤##癌
胰腺特指疾病胰腺颈部密度欠均匀	胰腺其他特指的疾病
2型糖尿病性合并正中神经病变	2型糖尿病##正中神经损害
"胰腺癌放疗,肝转移? 血小板降低,化疗，食欲差"	胰腺恶性肿瘤##恶性肿瘤放疗##肝继发恶性肿瘤##血小板减少##化学治疗##食欲不振##癌##转移性癌
工伤综合征	工作中的意外损伤
双肺上叶陈旧性病变双肺下叶间质性病变	间质性肺病##肺病
左手拇指电锯割伤伸指拇长伸肌腱断裂	拇指开放性损伤##手部肌肉肌腱断裂
前列腺动态未定肿瘤	前列腺动态未定或动态未知的肿瘤
卵巢乳头腺液性腺癌术后	卵巢术后##乳头状浆液性腺癌##卵巢恶性肿瘤
右乳病变不排除恶性待石蜡	乳腺恶性肿瘤
脱髓鞘性脑白质病√	脱髓鞘性白质脑病
右眼糖尿病视网膜病变II期	糖尿病视网膜病(E10-E14+伴有共用第四位数.3)
双侧额叶基底节区多发腔隙性缺血梗塞灶	多发性脑梗死##腔隙性脑梗死##基底节脑梗死
肿瘤术后免疫治疗	恶性肿瘤术后免疫治疗
大肠肿物	肠占位
头痛口干肝肾不足	头痛##口干
慢性子宫颈炎(宫颈那囊)	慢性子宫颈炎##子宫颈纳包氏囊肿
右眼眼底黄斑变性	黄斑变性
肝错构瘤	肝错构瘤
椎基底动脉血栓形成	椎动脉血栓形成##基底动脉血栓形成
右侧软腭划伤	口腔和咽喉部损伤
慢性结石性胆囊炎伴胆固醇沉积	胆囊结石伴慢性胆囊炎##胆囊胆固醇沉着症
肝硬化（酒精性、肝炎后）	酒精性肝硬化##肝炎肝硬化
右肾血管平滑肌瘤可能	肾错构瘤
右股骨上段骨肉瘤	股骨恶性肿瘤##骨肉瘤
第1-2趾表面皮肤软组织割伤	趾部开放性损伤
子宫肉瘤术后复发	肉瘤##子宫恶性肿瘤##子宫术后##恶性肿瘤复发
大血管错位完全性——单纯性	大动脉转位
胰腺癌Ⅲ期	胰腺恶性肿瘤##癌
直肠癌5cm，术前放疗	直肠恶性肿瘤##恶性肿瘤术前放疗##癌
梗阻性黄疸PTCD及胆道支架置入术后	梗阻性黄疸##胆管支架置入术后
-慢性盆腔炎	盆腔炎
双足第5趾外侧皮肤灼伤	足部损伤
右侧大脑脚囊肿	脑囊肿
汗证厌食花剥舌夜惊配药	睡惊症[夜惊症]
皮炎腰腿痛	皮炎##下肢疼痛##腰痛
硬膜下硬膜外血肿	硬膜下血肿##硬膜外血肿
结肠管状腺瘤	结肠良性肿瘤##管状腺瘤
右肱骨头坏死半脱位	肱骨头缺血性坏死##髋关节半脱位
横结肠符合绒毛状管状腺瘤	横结肠良性肿瘤##管状绒毛状腺瘤
冠心心功不全	冠状动脉粥样硬化性心脏病##心功能不全
右肺中叶肺大疱	肺大疱
